Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Classic Longboard Black,classic-longboard-black,"Traditional 9'0 single-fin longboard for smooth, graceful rides. Perfect for small to medium waves.",SurfX,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,black,adult",TRUE,Active,product_1,,Color,Black,,,,,,,,455.21,546.25,,TRUE,,shopify,13,DENY,8500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Classic Longboard Black,,FALSE,Classic Longboard Black,"Traditional 9'0 single-fin longboard for smooth, graceful rides. Perfect for small to medium waves.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Performance Shortboard White,performance-shortboard-white,High-performance shortboard with a narrow tail and aggressive rocker for advanced wave riding.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,advanced,unisex,white,adult",TRUE,Active,product_2,,Color,White,,,,,,,,540.58,648.70,,TRUE,,shopify,16,DENY,3200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Performance Shortboard White,,FALSE,Performance Shortboard White,High-performance shortboard with a narrow tail and aggressive rocker for advanced wave riding.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Mini Malibu Blue,mini-malibu-blue,Versatile mid-length board combining longboard stability with shortboard maneuverability.,BoardMaster,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,blue,adult",TRUE,Active,product_3,,Color,Blue,,,,,,,,508.92,,,TRUE,,shopify,24,DENY,5500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Mini Malibu Blue,,FALSE,Mini Malibu Blue,Versatile mid-length board combining longboard stability with shortboard maneuverability.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Fish Surfboard - Kids Red,fish-surfboard-kids-red,"Wide, flat fish shape for maximum speed in small to medium waves. Great for fun sessions.",RetroWave,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,red,kids",TRUE,Active,product_4,,Color,Red,,,,,,,,328.39,,,TRUE,,shopify,23,DENY,3800,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Fish Surfboard - Kids Red,,FALSE,Fish Surfboard - Kids Red,"Wide, flat fish shape for maximum speed in small to medium waves. Great for fun sessions.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Soft-Top Foamie Green,soft-top-foamie-green,Soft foam construction for safe learning. Ideal for beginners and surf schools.,AquaCraft,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,green,adult",TRUE,Active,product_5,,Color,Green,,,,,,,,177.56,,,TRUE,,shopify,6,DENY,4200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Soft-Top Foamie Green,,FALSE,Soft-Top Foamie Green,Soft foam construction for safe learning. Ideal for beginners and surf schools.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Gun Surfboard Yellow,gun-surfboard-yellow,"Narrow, pointed board designed for big wave surfing. Built for speed and control in overhead conditions.",CoastalRide,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,expert,unisex,yellow,adult",TRUE,Active,product_6,,Color,Yellow,,,,,,,,643.38,,,TRUE,,shopify,20,DENY,4500,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Gun Surfboard Yellow,,FALSE,Gun Surfboard Yellow,"Narrow, pointed board designed for big wave surfing. Built for speed and control in overhead conditions.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Hybrid Surfboard Orange,hybrid-surfboard-orange,Blends shortboard and fish design for versatile performance across all conditions.,OceanPulse,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,orange,adult",TRUE,Active,product_7,,Color,Orange,,,,,,,,528.13,633.76,,TRUE,,shopify,15,DENY,3600,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Hybrid Surfboard Orange,,FALSE,Hybrid Surfboard Orange,Blends shortboard and fish design for versatile performance across all conditions.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Retro Twin Fin - Kids Teal,retro-twin-fin-kids-teal,"Classic twin-fin design for loose, skatey surfing with modern construction.",SurfX,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,intermediate,unisex,teal,kids",TRUE,Active,product_8,,Color,Teal,,,,,,,,490.15,588.18,,TRUE,,shopify,9,DENY,3400,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Retro Twin Fin - Kids Teal,,FALSE,Retro Twin Fin - Kids Teal,"Classic twin-fin design for loose, skatey surfing with modern construction.",,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Kids,,,,new,FALSE,,,,,
Step-Up Board Navy,step-up-board-navy,Extra volume shortboard for bigger days when your regular board feels too small.,WavePro,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,advanced,unisex,navy,adult",TRUE,Active,product_9,,Color,Navy,,,,,,,,480.22,576.26,,TRUE,,shopify,9,DENY,3900,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Step-Up Board Navy,,FALSE,Step-Up Board Navy,Extra volume shortboard for bigger days when your regular board feels too small.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
Grom Board Charcoal,grom-board-charcoal,Scaled-down performance board for young surfers aged 8-14. Lightweight and responsive.,BoardMaster,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,Surfboards,"surfboards,surfing,ocean,beginner,unisex,charcoal,adult",TRUE,Active,product_10,,Color,Charcoal,,,,,,,,232.49,278.99,,TRUE,,shopify,16,DENY,2200,g,TRUE,manual,https://shopify-dummy.inops.io/product-images/surfboard.png,1,Grom Board Charcoal,,FALSE,Grom Board Charcoal,Scaled-down performance board for young surfers aged 8-14. Lightweight and responsive.,,Sporting Goods > Outdoor Recreation > Boating & Water Sports > Surfing,,Adult,,,,new,FALSE,,,,,
